day,min,mean,max
255,12.885864,14.341198,15.8394165
256,12.8403015,14.219772,15.580353
257,13.094696,14.186935,15.360657
258,12.999451,14.146156,15.104279
259,12.819641,13.983006,15.056244
260,12.45993,13.871155,15.008087
261,12.500397,13.773884,15.056549
262,12.244476,13.684853,14.990204
263,11.939453,13.528614,14.814453
264,12.144836,13.665627,14.936249
265,12.283142,13.744965,15.06073
266,12.36322,13.649754,14.88089
267,12.40744,13.664433,14.7517395
268,12.476715,13.54282,14.423553
269,12.371277,13.4200325,14.392426
270,12.095703,13.103546,14.167938
271,11.633789,12.793636,13.821594
272,11.380707,12.654163,13.900787
273,11.205933,12.400261,13.553497
274,11.152649,12.317101,13.460114
275,11.075104,12.050022,13.310638
276,10.827332,11.863316,12.844147
277,10.798828,11.779747,12.68985
278,10.604431,11.6537285,12.6427
279,10.406433,11.648514,12.9244995
280,10.398132,11.824322,12.976837
281,10.256531,11.643841,13.036072
282,10.687378,11.662151,12.634827
283,10.754242,11.746662,12.570221
284,10.628082,11.771145,12.712769
285,10.911407,11.743011,12.623688
286,10.715332,11.495186,12.5155945
287,10.334686,11.287182,11.972351
288,10.103882,11.239162,12.289276
289,9.911133,11.03236,12.067963
290,9.784332,10.914585,11.761719
291,9.452026,10.731136,11.88443
292,9.066956,10.486439,11.929871
293,9.137512,10.258587,11.505951
294,9.063812,10.06049,11.246429
295,8.536835,9.489162,10.692566
296,8.264374,9.142452,10.220001
297,8.354523,9.127068,9.928467
298,8.229889,9.142319,10.071991
299,7.8468018,8.9917145,9.809204
300,7.5284424,8.771183,9.908813
301,7.3987427,8.37722,9.501434
302,7.393402,8.197643,8.971558
303,7.3327026,8.037094,8.886505
304,7.3703003,7.980953,8.689148
305,7.304962,7.9257774,8.4470215
306,6.9237366,7.721657,8.512024
307,6.5021667,7.3544197,8.082123
308,6.2592163,6.9173813,7.6585693
309,5.8920593,6.5480194,7.2276306
310,5.758484,6.31501,6.8845215
311,5.227417,6.112545,7.084076
312,4.7016907,5.7384453,6.6176147
313,4.9092407,5.7582283,6.6263733
314,4.9873047,5.85408,6.782959
315,5.0084534,5.6364784,6.360016
316,4.719818,5.410492,6.170349
317,4.3200073,5.147217,5.8309937
318,4.6466675,5.461811,6.3075867
319,4.8153687,5.4403076,6.223114
320,4.3650513,5.339443,6.296936
321,4.34964,5.1343727,6.061371
322,3.9442139,4.642956,5.6569824
323,2.98703,4.1011734,4.962921
324,2.6575012,3.9193306,5.045868
325,2.2855225,3.4576263,4.916992
326,2.1954346,3.230976,4.406555
327,2.5821838,3.397934,4.3492126
328,2.6984558,3.5483704,4.6815186
329,2.7162476,3.2794647,4.1230774
330,2.3473206,2.8032455,3.8305664
331,1.4580383,2.1222153,2.7609558
332,1.2578125,2.021305,2.9093933
333,1.3105774,2.1396332,3.1393127
334,1.300293,2.0536804,3.075409
335,1.3138733,2.1639862,3.0196533
336,1.1987915,2.2829514,3.3809814
337,1.4192505,2.2278137,3.1412659
338,1.9293823,2.4665298,3.1713867
339,1.7906189,2.134678,2.802887
340,1.3504333,1.9066696,2.54953
341,0.9050598,1.6916199,2.4674683
342,0.38153076,1.4353447,2.4587402
343,0.08078003,1.2959595,2.6781006
344,-0.27072144,1.3305511,2.9098206
345,-0.60113525,1.3328209,3.272461
346,-1.1427307,1.2197762,3.564972
347,-0.64974976,1.304882,3.3742676
348,-0.39453125,1.2678566,3.1566162
349,-0.53616333,1.3434219,3.0822449
350,-0.38375854,1.3026352,3.230713
351,-0.616272,1.0038452,2.7094727
352,-0.56552124,0.8474541,2.3313599
353,-0.55514526,0.8305702,2.191162
354,-0.43981934,0.9229088,2.452118
355,-0.3218689,0.9654808,2.2546387
356,-0.35092163,1.0598526,2.4777527
357,-0.47158813,1.1189842,2.869049
358,-0.17599487,1.009964,2.3106995
359,-0.6046753,0.95134735,2.4205627
360,-0.7055664,0.9256325,2.6870728
361,-1.0735168,0.74401855,2.7573547
362,-0.7648926,0.4624672,2.1174622
363,-1.040741,0.22150803,1.5394287
364,-1.513092,-0.10335541,1.5403442
365,-1.4786072,-0.43579102,0.7670288
